time,temperature_2m,precipitation_probability,wind_speed_10m
2026-05-05T00:00,22.5,8,11.0
2026-05-05T01:00,22.9,5,9.2
2026-05-05T02:00,24.1,2,5.3
2026-05-05T03:00,25.9,2,6.2
2026-05-05T04:00,27.0,7,6.0
2026-05-05T05:00,27.9,15,4.6
2026-05-05T06:00,29.4,25,4.4
2026-05-05T07:00,27.4,41,14.2
2026-05-05T08:00,27.5,59,6.7
2026-05-05T09:00,29.5,69,2.9
2026-05-05T10:00,27.8,63,6.3
2026-05-05T11:00,27.6,47,7.6
2026-05-05T12:00,26.4,33,8.4
2026-05-05T13:00,25.2,22,5.5
2026-05-05T14:00,24.4,12,4.4
2026-05-05T15:00,23.9,4,4.2
2026-05-05T16:00,23.2,1,3.0
2026-05-05T17:00,22.7,0,3.5
2026-05-05T18:00,22.2,0,2.4
2026-05-05T19:00,22.0,0,2.3
2026-05-05T20:00,21.8,0,0.5
2026-05-05T21:00,21.4,0,1.4
2026-05-05T22:00,21.2,0,1.8
2026-05-05T23:00,21.0,0,2.5
2026-05-06T00:00,20.8,0,2.3
2026-05-06T01:00,21.6,0,3.0
2026-05-06T02:00,22.9,0,2.6
2026-05-06T03:00,25.0,0,2.2
2026-05-06T04:00,27.3,0,2.5
2026-05-06T05:00,29.2,0,3.2
2026-05-06T06:00,30.7,0,3.5
2026-05-06T07:00,32.0,0,2.8
2026-05-06T08:00,33.1,0,3.2
2026-05-06T09:00,33.8,0,3.1
2026-05-06T10:00,34.3,0,3.8
2026-05-06T11:00,34.2,0,7.1
2026-05-06T12:00,33.6,0,7.8
2026-05-06T13:00,32.5,1,3.2
2026-05-06T14:00,30.8,3,0.8
2026-05-06T15:00,29.5,4,4.8
2026-05-06T16:00,28.2,4,6.4
2026-05-06T17:00,26.9,4,5.7
2026-05-06T18:00,26.0,4,7.4
2026-05-06T19:00,25.6,3,7.5
2026-05-06T20:00,24.9,2,5.5
2026-05-06T21:00,24.2,2,6.4
2026-05-06T22:00,23.6,3,4.8
2026-05-06T23:00,23.5,5,6.4
2026-05-07T00:00,23.2,6,6.1
2026-05-07T01:00,23.5,7,9.4
2026-05-07T02:00,23.9,7,8.3
2026-05-07T03:00,26.8,6,7.5
2026-05-07T04:00,29.5,4,9.4
2026-05-07T05:00,31.9,2,9.4
2026-05-07T06:00,33.6,0,9.3
2026-05-07T07:00,34.8,0,7.6
2026-05-07T08:00,35.5,0,6.3
2026-05-07T09:00,36.3,0,5.7
2026-05-07T10:00,36.2,4,2.5
2026-05-07T11:00,33.5,9,8.8
2026-05-07T12:00,32.2,12,16.5
2026-05-07T13:00,31.2,9,13.4
2026-05-07T14:00,29.8,4,10.6
2026-05-07T15:00,28.8,0,11.2
2026-05-07T16:00,27.7,0,11.5
2026-05-07T17:00,26.8,0,11.1
2026-05-07T18:00,25.8,0,11.6
2026-05-07T19:00,25.1,0,10.1
2026-05-07T20:00,24.6,0,9.8
2026-05-07T21:00,24.2,0,9.4
2026-05-07T22:00,23.8,0,9.5
2026-05-07T23:00,23.4,0,8.9
2026-05-08T00:00,23.0,0,8.0
2026-05-08T01:00,23.1,0,8.3
2026-05-08T02:00,24.5,0,8.7
2026-05-08T03:00,26.6,0,9.3
2026-05-08T04:00,29.1,0,10.2
2026-05-08T05:00,31.5,0,11.7
2026-05-08T06:00,33.3,0,11.7
2026-05-08T07:00,34.8,0,10.6
2026-05-08T08:00,35.6,0,9.3
2026-05-08T09:00,35.9,0,8.1
2026-05-08T10:00,35.1,3,12.9
2026-05-08T11:00,34.4,8,11.6
2026-05-08T12:00,33.8,10,11.0
2026-05-08T13:00,33.0,8,11.7
2026-05-08T14:00,31.5,5,9.3
2026-05-08T15:00,30.6,2,6.9
2026-05-08T16:00,29.6,1,5.4
2026-05-08T17:00,28.8,0,4.1
2026-05-08T18:00,28.3,0,4.4
2026-05-08T19:00,27.5,0,4.2
2026-05-08T20:00,26.9,0,4.3
2026-05-08T21:00,26.2,0,4.6
2026-05-08T22:00,25.8,0,4.2
2026-05-08T23:00,25.5,0,4.4
2026-05-09T00:00,25.1,0,7.1
2026-05-09T01:00,26.0,0,7.4
2026-05-09T02:00,27.3,0,7.2
2026-05-09T03:00,29.0,0,7.1
2026-05-09T04:00,30.9,0,7.6
2026-05-09T05:00,33.1,0,8.1
2026-05-09T06:00,35.0,0,8.1
2026-05-09T07:00,36.2,0,7.1
2026-05-09T08:00,37.1,0,5.8
2026-05-09T09:00,37.5,0,5.5
2026-05-09T10:00,37.5,1,7.3
2026-05-09T11:00,37.0,2,10.1
2026-05-09T12:00,36.2,2,11.6
2026-05-09T13:00,35.0,2,10.7
2026-05-09T14:00,33.8,1,8.8
2026-05-09T15:00,32.5,0,7.4
2026-05-09T16:00,31.5,0,6.5
2026-05-09T17:00,30.6,0,5.5
2026-05-09T18:00,29.8,0,4.8
2026-05-09T19:00,29.0,0,4.6
2026-05-09T20:00,28.4,0,5.3
2026-05-09T21:00,27.8,0,6.0
2026-05-09T22:00,27.0,0,7.0
2026-05-09T23:00,26.3,0,8.0
2026-05-10T00:00,26.1,0,8.6
2026-05-10T01:00,26.9,0,8.4
2026-05-10T02:00,28.1,0,8.0
2026-05-10T03:00,29.7,0,7.9
2026-05-10T04:00,31.6,0,8.4
2026-05-10T05:00,33.8,0,9.1
2026-05-10T06:00,35.7,0,9.2
2026-05-10T07:00,37.0,0,8.4
2026-05-10T08:00,37.8,0,7.0
2026-05-10T09:00,38.3,0,5.9
2026-05-10T10:00,38.5,0,5.3
2026-05-10T11:00,38.4,0,5.2
2026-05-10T12:00,37.9,0,5.2
2026-05-10T13:00,36.8,0,5.1
2026-05-10T14:00,35.2,0,7.8
2026-05-10T15:00,33.8,0,10.3
2026-05-10T16:00,32.5,0,10.3
2026-05-10T17:00,31.4,0,9.3
2026-05-10T18:00,30.4,0,8.9
2026-05-10T19:00,29.6,0,8.8
2026-05-10T20:00,29.1,0,8.7
2026-05-10T21:00,28.6,0,8.8
2026-05-10T22:00,28.0,0,9.0
2026-05-10T23:00,27.5,0,9.3
2026-05-11T00:00,27.4,0,9.4
2026-05-11T01:00,28.0,0,9.0
2026-05-11T02:00,29.2,0,8.6
2026-05-11T03:00,30.7,0,8.4
2026-05-11T04:00,32.8,0,8.8
2026-05-11T05:00,35.1,0,9.6
2026-05-11T06:00,36.8,0,10.0
2026-05-11T07:00,37.7,1,8.4
2026-05-11T08:00,38.2,3,7.3
2026-05-11T09:00,38.5,5,7.0
2026-05-11T10:00,38.7,6,7.5
2026-05-11T11:00,38.5,8,8.8
2026-05-11T12:00,38.2,8,9.6
2026-05-11T13:00,37.5,7,9.7
2026-05-11T14:00,36.4,6,9.4
2026-05-11T15:00,35.1,4,9.0
2026-05-11T16:00,33.7,3,8.8
2026-05-11T17:00,32.5,1,9.0
2026-05-11T18:00,31.4,0,9.4
2026-05-11T19:00,30.5,0,9.7
2026-05-11T20:00,29.5,0,10.4
2026-05-11T21:00,28.6,0,11.0
2026-05-11T22:00,27.9,1,11.3
2026-05-11T23:00,27.6,1,11.3
